model,c1,c2,severity,drop_c1,drop_c2,drop_combined,expected_additive,interaction,interaction_type
ViT-B-32,gaussian_noise,motion_blur,1,0.477,0.33,0.634,0.8069999999999999,-0.17299999999999993,subadditive
ViT-B-32,gaussian_noise,fog,1,0.477,0.22499999999999998,0.614,0.702,-0.08799999999999997,subadditive
ViT-B-32,gaussian_noise,jpeg_compression,1,0.477,0.463,0.528,0.94,-0.4119999999999999,subadditive
ViT-B-32,gaussian_noise,brightness,1,0.477,0.015000000000000013,0.492,0.492,0.0,additive
ViT-B-32,gaussian_noise,contrast,1,0.477,0.10499999999999998,0.515,0.582,-0.06699999999999995,subadditive
ViT-B-32,gaussian_noise,shot_noise,1,0.477,0.508,0.613,0.985,-0.372,subadditive
ViT-B-32,motion_blur,fog,1,0.33,0.22499999999999998,0.63,0.5549999999999999,0.07500000000000007,superadditive
ViT-B-32,motion_blur,jpeg_compression,1,0.33,0.463,0.597,0.793,-0.19600000000000006,subadditive
ViT-B-32,motion_blur,brightness,1,0.33,0.015000000000000013,0.361,0.34500000000000003,0.01599999999999996,superadditive
ViT-B-32,motion_blur,contrast,1,0.33,0.10499999999999998,0.493,0.435,0.057999999999999996,superadditive
ViT-B-32,motion_blur,shot_noise,1,0.33,0.508,0.705,0.8380000000000001,-0.13300000000000012,subadditive
ViT-B-32,fog,jpeg_compression,1,0.22499999999999998,0.463,0.6930000000000001,0.688,0.0050000000000001155,superadditive
ViT-B-32,fog,brightness,1,0.22499999999999998,0.015000000000000013,0.256,0.24,0.016000000000000014,superadditive
ViT-B-32,fog,contrast,1,0.22499999999999998,0.10499999999999998,0.419,0.32999999999999996,0.08900000000000002,superadditive
ViT-B-32,fog,shot_noise,1,0.22499999999999998,0.508,0.73,0.733,-0.0030000000000000027,additive
ViT-B-32,jpeg_compression,brightness,1,0.463,0.015000000000000013,0.484,0.47800000000000004,0.00599999999999995,superadditive
ViT-B-32,jpeg_compression,contrast,1,0.463,0.10499999999999998,0.486,0.5680000000000001,-0.08200000000000007,subadditive
ViT-B-32,jpeg_compression,shot_noise,1,0.463,0.508,0.625,0.9710000000000001,-0.3460000000000001,subadditive
ViT-B-32,brightness,contrast,1,0.015000000000000013,0.10499999999999998,0.124,0.12,0.0040000000000000036,additive
